# drive_name: unique label printed on the drive.
# type: venue | inspector
# home_venue_code: venue_code the drive belongs to (leave blank for inspector drives).
# status: In DVR | In Maintenance possession | With Inspector | In transit to Inspector | In transit to Maintenance
# current_venue_code: if status is "In DVR", which venue is the drive currently installed in (defaults to home_venue_code).
# installed_date: date the drive was installed in current_venue_code (format YYYY-MM-DD). Default 2026-01-01.
# holder_email: email of the maintenance/inspector user currently holding the drive (leave blank if "In DVR").
# notes: any free-text notes.
drive_name,type,home_venue_code,status,current_venue_code,installed_date,holder_email,notes
P_PU01-A,venue,P_PU01,In DVR,P_PU01,2026-01-01,,
P_PU01-B,venue,P_PU01,In Maintenance possession,,,maintenance@demo.local,
P_PU02-A,venue,P_PU02,In DVR,P_PU02,2026-01-01,,
P_PU02-B,venue,P_PU02,In Maintenance possession,,,maintenance@demo.local,
P_PU03-A,venue,P_PU03,In DVR,P_PU03,2026-01-01,,
P_PU03-B,venue,P_PU03,In Maintenance possession,,,maintenance@demo.local,
P_PU04-A,venue,P_PU04,In DVR,P_PU04,2026-01-01,,
P_PU04-B,venue,P_PU04,In Maintenance possession,,,maintenance@demo.local,
P_PU05-A,venue,P_PU05,In DVR,P_PU05,2026-01-01,,
P_PU05-B,venue,P_PU05,In Maintenance possession,,,maintenance@demo.local,
P_PU06-A,venue,P_PU06,In DVR,P_PU06,2026-01-01,,
P_PU06-B,venue,P_PU06,In Maintenance possession,,,maintenance@demo.local,
P_DO01-A,venue,P_DO01,In DVR,P_DO01,2026-01-01,,
P_DO01-B,venue,P_DO01,In Maintenance possession,,,maintenance@demo.local,
P_DO02-A,venue,P_DO02,In DVR,P_DO02,2026-01-01,,
P_DO02-B,venue,P_DO02,In Maintenance possession,,,maintenance@demo.local,
P_DO03-A,venue,P_DO03,In DVR,P_DO03,2026-01-01,,
P_DO03-B,venue,P_DO03,In Maintenance possession,,,maintenance@demo.local,
P_DO04-A,venue,P_DO04,In DVR,P_DO04,2026-01-01,,
P_DO04-B,venue,P_DO04,In Maintenance possession,,,maintenance@demo.local,
P_DO05-A,venue,P_DO05,In DVR,P_DO05,2026-01-01,,
P_DO05-B,venue,P_DO05,In Maintenance possession,,,maintenance@demo.local,
P_NA01-A,venue,P_NA01,In DVR,P_NA01,2026-01-01,,
P_NA01-B,venue,P_NA01,In Maintenance possession,,,maintenance@demo.local,
P_NA02-A,venue,P_NA02,In DVR,P_NA02,2026-01-01,,
P_NA02-B,venue,P_NA02,In Maintenance possession,,,maintenance@demo.local,
P_NA03-A,venue,P_NA03,In DVR,P_NA03,2026-01-01,,
P_NA03-B,venue,P_NA03,In Maintenance possession,,,maintenance@demo.local,
P_WY01-A,venue,P_WY01,In DVR,P_WY01,2026-01-01,,
P_WY01-B,venue,P_WY01,In Maintenance possession,,,maintenance@demo.local,
P_WY02-A,venue,P_WY02,In DVR,P_WY02,2026-01-01,,
P_WY02-B,venue,P_WY02,In Maintenance possession,,,maintenance@demo.local,
P_WY03-A,venue,P_WY03,In DVR,P_WY03,2026-01-01,,
P_WY03-B,venue,P_WY03,In Maintenance possession,,,maintenance@demo.local,
P_TAM01-A,venue,P_TAM01,In DVR,P_TAM01,2026-01-01,,
P_TAM01-B,venue,P_TAM01,In Maintenance possession,,,maintenance@demo.local,
P_TAM02-A,venue,P_TAM02,In DVR,P_TAM02,2026-01-01,,
P_TAM02-B,venue,P_TAM02,In Maintenance possession,,,maintenance@demo.local,
P_TAM03-A,venue,P_TAM03,In DVR,P_TAM03,2026-01-01,,
P_TAM03-B,venue,P_TAM03,In Maintenance possession,,,maintenance@demo.local,
P_TAM04-A,venue,P_TAM04,In DVR,P_TAM04,2026-01-01,,
P_TAM04-B,venue,P_TAM04,In Maintenance possession,,,maintenance@demo.local,
P_TAM05-A,venue,P_TAM05,In DVR,P_TAM05,2026-01-01,,
P_TAM05-B,venue,P_TAM05,In Maintenance possession,,,maintenance@demo.local,
P_TAM06-A,venue,P_TAM06,In DVR,P_TAM06,2026-01-01,,
P_TAM06-B,venue,P_TAM06,In Maintenance possession,,,maintenance@demo.local,
P_TAM07-A,venue,P_TAM07,In DVR,P_TAM07,2026-01-01,,
P_TAM07-B,venue,P_TAM07,In Maintenance possession,,,maintenance@demo.local,
P_TAM08-A,venue,P_TAM08,In DVR,P_TAM08,2026-01-01,,
P_TAM08-B,venue,P_TAM08,In Maintenance possession,,,maintenance@demo.local,
P_TAM09-A,venue,P_TAM09,In DVR,P_TAM09,2026-01-01,,
P_TAM09-B,venue,P_TAM09,In Maintenance possession,,,maintenance@demo.local,
P_TAM10-A,venue,P_TAM10,In DVR,P_TAM10,2026-01-01,,
P_TAM10-B,venue,P_TAM10,In Maintenance possession,,,maintenance@demo.local,
P_TAM11-A,venue,P_TAM11,In DVR,P_TAM11,2026-01-01,,
P_TAM11-B,venue,P_TAM11,In Maintenance possession,,,maintenance@demo.local,
P_SA01-A,venue,P_SA01,In DVR,P_SA01,2026-01-01,,
P_SA01-B,venue,P_SA01,In Maintenance possession,,,maintenance@demo.local,
P_SA02-A,venue,P_SA02,In DVR,P_SA02,2026-01-01,,
P_SA02-B,venue,P_SA02,In Maintenance possession,,,maintenance@demo.local,
P_SA03-A,venue,P_SA03,In DVR,P_SA03,2026-01-01,,
P_SA03-B,venue,P_SA03,In Maintenance possession,,,maintenance@demo.local,
P_SA04-A,venue,P_SA04,In DVR,P_SA04,2026-01-01,,
P_SA04-B,venue,P_SA04,In Maintenance possession,,,maintenance@demo.local,
P_SA05-A,venue,P_SA05,In DVR,P_SA05,2026-01-01,,
P_SA05-B,venue,P_SA05,In Maintenance possession,,,maintenance@demo.local,
P_SO01-A,venue,P_SO01,In DVR,P_SO01,2026-01-01,,
P_SO01-B,venue,P_SO01,In Maintenance possession,,,maintenance@demo.local,
P_SO02-A,venue,P_SO02,In DVR,P_SO02,2026-01-01,,
P_SO02-B,venue,P_SO02,In Maintenance possession,,,maintenance@demo.local,
P_SO03-A,venue,P_SO03,In DVR,P_SO03,2026-01-01,,
P_SO03-B,venue,P_SO03,In Maintenance possession,,,maintenance@demo.local,
P_SO04-A,venue,P_SO04,In DVR,P_SO04,2026-01-01,,
P_SO04-B,venue,P_SO04,In Maintenance possession,,,maintenance@demo.local,
P_EK01-A,venue,P_EK01,In DVR,P_EK01,2026-01-01,,
P_EK01-B,venue,P_EK01,In Maintenance possession,,,maintenance@demo.local,
P_EK02-A,venue,P_EK02,In DVR,P_EK02,2026-01-01,,
P_EK02-B,venue,P_EK02,In Maintenance possession,,,maintenance@demo.local,
P_EK03-A,venue,P_EK03,In DVR,P_EK03,2026-01-01,,
P_EK03-B,venue,P_EK03,In Maintenance possession,,,maintenance@demo.local,
P_EK04-A,venue,P_EK04,In DVR,P_EK04,2026-01-01,,
P_EK04-B,venue,P_EK04,In Maintenance possession,,,maintenance@demo.local,
INSP-01,inspector,,In Maintenance possession,,,maintenance@demo.local,
INSP-02,inspector,,In Maintenance possession,,,maintenance@demo.local,
INSP-03,inspector,,In Maintenance possession,,,maintenance@demo.local,
INSP-04,inspector,,In Maintenance possession,,,maintenance@demo.local,
