# One row per physical asset installed at a venue.
# venue_code: must match a code in the depots_venues sheet.
# asset_type: DVR | Camera | Power Supply | Hard Drive | Cable
# label: unique human-readable identifier for this asset.
# serial_number: leave blank if unknown.
# install_date: format YYYY-MM-DD. Default 2026-01-01.
# status: Operational | Faulty | Replaced
# notes: any free-text notes.
venue_code,asset_type,label,serial_number,install_date,status,notes
P_PU01,DVR,"DVR 01/01/2026 P_PU01 #1",,2026-01-01,Operational,
P_PU01,DVR,"DVR 01/01/2026 P_PU01 #2",,2026-01-01,Operational,
P_PU01,Camera,"Camera 01/01/2026 P_PU01 #1",,2026-01-01,Operational,
P_PU01,Camera,"Camera 01/01/2026 P_PU01 #2",,2026-01-01,Operational,
P_PU01,Power Supply,"Power Supply 01/01/2026 P_PU01 #1",,2026-01-01,Operational,
P_PU01,Power Supply,"Power Supply 01/01/2026 P_PU01 #2",,2026-01-01,Operational,
P_PU01,Hard Drive,"Hard Drive 01/01/2026 P_PU01 #1",,2026-01-01,Operational,
P_PU01,Hard Drive,"Hard Drive 01/01/2026 P_PU01 #2",,2026-01-01,Operational,
P_PU01,Cable,"Cable 01/01/2026 P_PU01 #1",,2026-01-01,Operational,
P_PU01,Cable,"Cable 01/01/2026 P_PU01 #2",,2026-01-01,Operational,
P_PU02,DVR,"DVR 01/01/2026 P_PU02 #1",,2026-01-01,Operational,
P_PU02,DVR,"DVR 01/01/2026 P_PU02 #2",,2026-01-01,Operational,
P_PU02,Camera,"Camera 01/01/2026 P_PU02 #1",,2026-01-01,Operational,
P_PU02,Camera,"Camera 01/01/2026 P_PU02 #2",,2026-01-01,Operational,
P_PU02,Power Supply,"Power Supply 01/01/2026 P_PU02 #1",,2026-01-01,Operational,
P_PU02,Power Supply,"Power Supply 01/01/2026 P_PU02 #2",,2026-01-01,Operational,
P_PU02,Hard Drive,"Hard Drive 01/01/2026 P_PU02 #1",,2026-01-01,Operational,
P_PU02,Hard Drive,"Hard Drive 01/01/2026 P_PU02 #2",,2026-01-01,Operational,
P_PU02,Cable,"Cable 01/01/2026 P_PU02 #1",,2026-01-01,Operational,
P_PU02,Cable,"Cable 01/01/2026 P_PU02 #2",,2026-01-01,Operational,
P_PU03,DVR,"DVR 01/01/2026 P_PU03 #1",,2026-01-01,Operational,
P_PU03,DVR,"DVR 01/01/2026 P_PU03 #2",,2026-01-01,Operational,
P_PU03,Camera,"Camera 01/01/2026 P_PU03 #1",,2026-01-01,Operational,
P_PU03,Camera,"Camera 01/01/2026 P_PU03 #2",,2026-01-01,Operational,
P_PU03,Power Supply,"Power Supply 01/01/2026 P_PU03 #1",,2026-01-01,Operational,
P_PU03,Power Supply,"Power Supply 01/01/2026 P_PU03 #2",,2026-01-01,Operational,
P_PU03,Hard Drive,"Hard Drive 01/01/2026 P_PU03 #1",,2026-01-01,Operational,
P_PU03,Hard Drive,"Hard Drive 01/01/2026 P_PU03 #2",,2026-01-01,Operational,
P_PU03,Cable,"Cable 01/01/2026 P_PU03 #1",,2026-01-01,Operational,
P_PU03,Cable,"Cable 01/01/2026 P_PU03 #2",,2026-01-01,Operational,
P_PU04,DVR,"DVR 01/01/2026 P_PU04 #1",,2026-01-01,Operational,
P_PU04,DVR,"DVR 01/01/2026 P_PU04 #2",,2026-01-01,Operational,
P_PU04,Camera,"Camera 01/01/2026 P_PU04 #1",,2026-01-01,Operational,
P_PU04,Camera,"Camera 01/01/2026 P_PU04 #2",,2026-01-01,Operational,
P_PU04,Power Supply,"Power Supply 01/01/2026 P_PU04 #1",,2026-01-01,Operational,
P_PU04,Power Supply,"Power Supply 01/01/2026 P_PU04 #2",,2026-01-01,Operational,
P_PU04,Hard Drive,"Hard Drive 01/01/2026 P_PU04 #1",,2026-01-01,Operational,
P_PU04,Hard Drive,"Hard Drive 01/01/2026 P_PU04 #2",,2026-01-01,Operational,
P_PU04,Cable,"Cable 01/01/2026 P_PU04 #1",,2026-01-01,Operational,
P_PU04,Cable,"Cable 01/01/2026 P_PU04 #2",,2026-01-01,Operational,
P_PU05,DVR,"DVR 01/01/2026 P_PU05 #1",,2026-01-01,Operational,
P_PU05,DVR,"DVR 01/01/2026 P_PU05 #2",,2026-01-01,Operational,
P_PU05,Camera,"Camera 01/01/2026 P_PU05 #1",,2026-01-01,Operational,
P_PU05,Camera,"Camera 01/01/2026 P_PU05 #2",,2026-01-01,Operational,
P_PU05,Power Supply,"Power Supply 01/01/2026 P_PU05 #1",,2026-01-01,Operational,
P_PU05,Power Supply,"Power Supply 01/01/2026 P_PU05 #2",,2026-01-01,Operational,
P_PU05,Hard Drive,"Hard Drive 01/01/2026 P_PU05 #1",,2026-01-01,Operational,
P_PU05,Hard Drive,"Hard Drive 01/01/2026 P_PU05 #2",,2026-01-01,Operational,
P_PU05,Cable,"Cable 01/01/2026 P_PU05 #1",,2026-01-01,Operational,
P_PU05,Cable,"Cable 01/01/2026 P_PU05 #2",,2026-01-01,Operational,
P_PU06,DVR,"DVR 01/01/2026 P_PU06 #1",,2026-01-01,Operational,
P_PU06,DVR,"DVR 01/01/2026 P_PU06 #2",,2026-01-01,Operational,
P_PU06,Camera,"Camera 01/01/2026 P_PU06 #1",,2026-01-01,Operational,
P_PU06,Camera,"Camera 01/01/2026 P_PU06 #2",,2026-01-01,Operational,
P_PU06,Power Supply,"Power Supply 01/01/2026 P_PU06 #1",,2026-01-01,Operational,
P_PU06,Power Supply,"Power Supply 01/01/2026 P_PU06 #2",,2026-01-01,Operational,
P_PU06,Hard Drive,"Hard Drive 01/01/2026 P_PU06 #1",,2026-01-01,Operational,
P_PU06,Hard Drive,"Hard Drive 01/01/2026 P_PU06 #2",,2026-01-01,Operational,
P_PU06,Cable,"Cable 01/01/2026 P_PU06 #1",,2026-01-01,Operational,
P_PU06,Cable,"Cable 01/01/2026 P_PU06 #2",,2026-01-01,Operational,
P_DO01,DVR,"DVR 01/01/2026 P_DO01 #1",,2026-01-01,Operational,
P_DO01,DVR,"DVR 01/01/2026 P_DO01 #2",,2026-01-01,Operational,
P_DO01,Camera,"Camera 01/01/2026 P_DO01 #1",,2026-01-01,Operational,
P_DO01,Camera,"Camera 01/01/2026 P_DO01 #2",,2026-01-01,Operational,
P_DO01,Power Supply,"Power Supply 01/01/2026 P_DO01 #1",,2026-01-01,Operational,
P_DO01,Power Supply,"Power Supply 01/01/2026 P_DO01 #2",,2026-01-01,Operational,
P_DO01,Hard Drive,"Hard Drive 01/01/2026 P_DO01 #1",,2026-01-01,Operational,
P_DO01,Hard Drive,"Hard Drive 01/01/2026 P_DO01 #2",,2026-01-01,Operational,
P_DO01,Cable,"Cable 01/01/2026 P_DO01 #1",,2026-01-01,Operational,
P_DO01,Cable,"Cable 01/01/2026 P_DO01 #2",,2026-01-01,Operational,
P_DO02,DVR,"DVR 01/01/2026 P_DO02 #1",,2026-01-01,Operational,
P_DO02,DVR,"DVR 01/01/2026 P_DO02 #2",,2026-01-01,Operational,
P_DO02,Camera,"Camera 01/01/2026 P_DO02 #1",,2026-01-01,Operational,
P_DO02,Camera,"Camera 01/01/2026 P_DO02 #2",,2026-01-01,Operational,
P_DO02,Power Supply,"Power Supply 01/01/2026 P_DO02 #1",,2026-01-01,Operational,
P_DO02,Power Supply,"Power Supply 01/01/2026 P_DO02 #2",,2026-01-01,Operational,
P_DO02,Hard Drive,"Hard Drive 01/01/2026 P_DO02 #1",,2026-01-01,Operational,
P_DO02,Hard Drive,"Hard Drive 01/01/2026 P_DO02 #2",,2026-01-01,Operational,
P_DO02,Cable,"Cable 01/01/2026 P_DO02 #1",,2026-01-01,Operational,
P_DO02,Cable,"Cable 01/01/2026 P_DO02 #2",,2026-01-01,Operational,
P_DO03,DVR,"DVR 01/01/2026 P_DO03 #1",,2026-01-01,Operational,
P_DO03,DVR,"DVR 01/01/2026 P_DO03 #2",,2026-01-01,Operational,
P_DO03,Camera,"Camera 01/01/2026 P_DO03 #1",,2026-01-01,Operational,
P_DO03,Camera,"Camera 01/01/2026 P_DO03 #2",,2026-01-01,Operational,
P_DO03,Power Supply,"Power Supply 01/01/2026 P_DO03 #1",,2026-01-01,Operational,
P_DO03,Power Supply,"Power Supply 01/01/2026 P_DO03 #2",,2026-01-01,Operational,
P_DO03,Hard Drive,"Hard Drive 01/01/2026 P_DO03 #1",,2026-01-01,Operational,
P_DO03,Hard Drive,"Hard Drive 01/01/2026 P_DO03 #2",,2026-01-01,Operational,
P_DO03,Cable,"Cable 01/01/2026 P_DO03 #1",,2026-01-01,Operational,
P_DO03,Cable,"Cable 01/01/2026 P_DO03 #2",,2026-01-01,Operational,
P_DO04,DVR,"DVR 01/01/2026 P_DO04 #1",,2026-01-01,Operational,
P_DO04,DVR,"DVR 01/01/2026 P_DO04 #2",,2026-01-01,Operational,
P_DO04,Camera,"Camera 01/01/2026 P_DO04 #1",,2026-01-01,Operational,
P_DO04,Camera,"Camera 01/01/2026 P_DO04 #2",,2026-01-01,Operational,
P_DO04,Power Supply,"Power Supply 01/01/2026 P_DO04 #1",,2026-01-01,Operational,
P_DO04,Power Supply,"Power Supply 01/01/2026 P_DO04 #2",,2026-01-01,Operational,
P_DO04,Hard Drive,"Hard Drive 01/01/2026 P_DO04 #1",,2026-01-01,Operational,
P_DO04,Hard Drive,"Hard Drive 01/01/2026 P_DO04 #2",,2026-01-01,Operational,
P_DO04,Cable,"Cable 01/01/2026 P_DO04 #1",,2026-01-01,Operational,
P_DO04,Cable,"Cable 01/01/2026 P_DO04 #2",,2026-01-01,Operational,
P_DO05,DVR,"DVR 01/01/2026 P_DO05 #1",,2026-01-01,Operational,
P_DO05,DVR,"DVR 01/01/2026 P_DO05 #2",,2026-01-01,Operational,
P_DO05,Camera,"Camera 01/01/2026 P_DO05 #1",,2026-01-01,Operational,
P_DO05,Camera,"Camera 01/01/2026 P_DO05 #2",,2026-01-01,Operational,
P_DO05,Power Supply,"Power Supply 01/01/2026 P_DO05 #1",,2026-01-01,Operational,
P_DO05,Power Supply,"Power Supply 01/01/2026 P_DO05 #2",,2026-01-01,Operational,
P_DO05,Hard Drive,"Hard Drive 01/01/2026 P_DO05 #1",,2026-01-01,Operational,
P_DO05,Hard Drive,"Hard Drive 01/01/2026 P_DO05 #2",,2026-01-01,Operational,
P_DO05,Cable,"Cable 01/01/2026 P_DO05 #1",,2026-01-01,Operational,
P_DO05,Cable,"Cable 01/01/2026 P_DO05 #2",,2026-01-01,Operational,
P_NA01,DVR,"DVR 01/01/2026 P_NA01 #1",,2026-01-01,Operational,
P_NA01,DVR,"DVR 01/01/2026 P_NA01 #2",,2026-01-01,Operational,
P_NA01,Camera,"Camera 01/01/2026 P_NA01 #1",,2026-01-01,Operational,
P_NA01,Camera,"Camera 01/01/2026 P_NA01 #2",,2026-01-01,Operational,
P_NA01,Power Supply,"Power Supply 01/01/2026 P_NA01 #1",,2026-01-01,Operational,
P_NA01,Power Supply,"Power Supply 01/01/2026 P_NA01 #2",,2026-01-01,Operational,
P_NA01,Hard Drive,"Hard Drive 01/01/2026 P_NA01 #1",,2026-01-01,Operational,
P_NA01,Hard Drive,"Hard Drive 01/01/2026 P_NA01 #2",,2026-01-01,Operational,
P_NA01,Cable,"Cable 01/01/2026 P_NA01 #1",,2026-01-01,Operational,
P_NA01,Cable,"Cable 01/01/2026 P_NA01 #2",,2026-01-01,Operational,
P_NA02,DVR,"DVR 01/01/2026 P_NA02 #1",,2026-01-01,Operational,
P_NA02,DVR,"DVR 01/01/2026 P_NA02 #2",,2026-01-01,Operational,
P_NA02,Camera,"Camera 01/01/2026 P_NA02 #1",,2026-01-01,Operational,
P_NA02,Camera,"Camera 01/01/2026 P_NA02 #2",,2026-01-01,Operational,
